级别,日期和时间,来源,事件 ID,任务类别
信息,2015/8/21 16:33:02,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/8/19 16:16:52,Service Control Manager,7036,无,Attunity Replicate Console 服务处于 正在运行 状态。
信息,2015/8/19 16:16:52,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。
信息,2015/8/19 16:33:22,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。
信息,2015/8/19 16:18:22,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/8/5 12:00:01,EventLog,6013,无,系统启动时间为 4828752 秒。
信息,2015/8/5 11:39:49,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。
信息,2015/8/7 12:00:01,EventLog,6013,无,系统启动时间为 5001553 秒。
信息,2015/8/6 12:00:00,EventLog,6013,无,系统启动时间为 4915152 秒。
信息,2015/8/5 11:22:51,Service Control Manager,7036,无,Attunity Replicate Server 服务处于 正在运行 状态。
信息,2015/8/5 11:22:33,Service Control Manager,7036,无,Attunity Replicate Server 服务处于 停止 状态。
信息,2015/8/5 11:23:19,Service Control Manager,7036,无,Attunity Replicate Console 服务处于 正在运行 状态。
信息,2015/8/5 11:23:19,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。
信息,2015/8/13 10:28:19,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/8/12 12:00:01,EventLog,6013,无,系统启动时间为 5433552 秒。
信息,2015/8/13 12:00:01,EventLog,6013,无,系统启动时间为 5519952 秒。
信息,2015/8/13 10:38:19,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/8/9 12:00:01,EventLog,6013,无,系统启动时间为 5174352 秒。
信息,2015/8/8 12:00:01,EventLog,6013,无,系统启动时间为 5087952 秒。
信息,2015/8/11 12:00:01,EventLog,6013,无,系统启动时间为 5347152 秒。
信息,2015/8/10 12:00:00,EventLog,6013,无,系统启动时间为 5260752 秒。
信息,2015/7/15 10:42:53,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/15 10:34:53,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/15 22:35:52,vmci,3,无,VMCIUtil: Updating context id from 0x34e745ae to 0x34e745ae on event 0.

信息,2015/7/15 12:00:01,EventLog,6013,无,系统启动时间为 3014352 秒。
信息,2015/7/14 12:00:00,EventLog,6013,无,系统启动时间为 2927952 秒。
信息,2015/7/13 23:51:06,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/15 10:32:50,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/15 10:32:48,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/16 11:10:22,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/16 0:43:37,Service Control Manager,7036,无,Windows Modules Installer 服务处于 停止 状态。
信息,2015/7/16 12:00:02,EventLog,6013,无,系统启动时间为 3100753 秒。
信息,2015/7/16 11:20:22,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/16 0:33:28,Service Control Manager,7036,无,Windows Modules Installer 服务处于 正在运行 状态。
信息,2015/7/15 22:56:06,vmci,3,无,VMCIUtil: Updating context id from 0x34e745ae to 0x34e745ae on event 0.

信息,2015/7/16 0:43:36,Service Control Manager,7040,无,Windows Modules Installer 服务的启动类型从 自动启动 更改为 按需启动。
信息,2015/7/16 0:43:35,Service Control Manager,7040,无,Windows Modules Installer 服务的启动类型从 按需启动 更改为 自动启动。
信息,2015/7/8 12:00:01,EventLog,6013,无,系统启动时间为 2409552 秒。
信息,2015/7/7 12:00:01,EventLog,6013,无,系统启动时间为 2323153 秒。
信息,2015/7/9 3:11:15,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。
信息,2015/7/9 2:54:45,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。
信息,2015/7/5 12:00:01,EventLog,6013,无,系统启动时间为 2150352 秒。
信息,2015/7/4 12:00:01,EventLog,6013,无,系统启动时间为 2063952 秒。
信息,2015/7/6 14:56:40,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/7/6 12:00:00,EventLog,6013,无,系统启动时间为 2236752 秒。
信息,2015/7/13 20:34:28,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/13 12:00:01,EventLog,6013,无,系统启动时间为 2841552 秒。
信息,2015/7/13 23:49:06,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/13 20:36:28,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/10 12:00:00,EventLog,6013,无,系统启动时间为 2582352 秒。
信息,2015/7/9 12:00:01,EventLog,6013,无,系统启动时间为 2495952 秒。
信息,2015/7/12 12:00:01,EventLog,6013,无,系统启动时间为 2755152 秒。
信息,2015/7/11 12:00:01,EventLog,6013,无,系统启动时间为 2668752 秒。
信息,2015/7/16 14:14:01,Service Control Manager,7036,无,Windows Modules Installer 服务处于 正在运行 状态。
信息,2015/7/24 10:50:16,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 10:12:27,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/24 11:01:39,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/24 10:58:16,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/24 10:08:44,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/23 12:00:00,EventLog,6013,无,系统启动时间为 3705552 秒。
信息,2015/7/24 10:12:23,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 10:08:46,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/24 11:31:36,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 11:20:07,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/24 11:42:51,Microsoft-Windows-Eventlog,104,日志清除,Application 日志文件已被清除。
信息,2015/7/24 11:39:35,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
