级别,日期和时间,来源,事件 ID,任务类别
信息,2017/2/3 16:45:43,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/3 16:45:43,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/2 16:42:21,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/2 16:42:21,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/2 16:42:21,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/2 16:42:21,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/1 16:40:02,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/1 16:40:02,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/1 16:40:01,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/1 16:40:01,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/1/31 16:37:39,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/1/31 16:37:39,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/1/31 16:37:38,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/1/31 16:37:38,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/1/30 16:34:10,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/1/30 16:34:10,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/1/30 16:34:10,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/1/30 16:34:10,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/1/29 16:33:42,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
